ccaa;Población
España;47431256
Andalucía;8460261
Aragón;1328753
Asturias, Principado de;1018706
Illes Balears;1171003
Canarias;2174474
Cantabria;582796
Castilla y León;2393285
Castilla-La Mancha;2044408
Catalunya;7778362
Valenciana, Comunidad / Valenciana, Comunitat;5054796
Extremadura;1063575
Galicia;2700269
Madrid, Comunidad de;6778382
Murcia, Región de;1510951
Navarra, Comunidad Foral de / Nafarroako Foru Komunitatea;660887
País Vasco / Euskal Herria;2219777
La Rioja;319653
Ceuta;83842
Melilla;87076
